Países,Fecha,Deuda total (M.€),Deuda (%PIB),Deuda Per Cápita
España [+],2018,1.173.303,"97,60%",24.999€
Alemania [+],2018,2.063.172,"60,90%",24.852€
Reino Unido [+],2018,2.054.185,"86,80%",30.822€
Francia [+],2018,2.315.298,"98,40%",34.542€
Italia [+],2018,2.321.957,"132,20%",38.469€
Portugal [+],2018,244.906,"121,50%",23.831€
Estados Unidos [+],2018,18.160.427,"104,26%",55.477€
Japón [+],2017,10.112.535,"234,99%",79.786€
China [+],2018,5.729.759,"50,64%",4.106€
Emiratos Árabes Unidos [+],2017,66.897,"20,00%",7.051€
Afganistán [+],2018,1.145,"6,89%",31€
Antigua y Barbuda [+],2018,1.220,"89,46%",12.667€
Albania [+],2018,8.911,"69,92%",3.113€
Armenia [+],2018,5.401,"51,33%",1.821€
Angola [+],2018,79.775,"89,00%",2.589€
Argentina [+],2018,378.385,"86,06%",8.492€
Austria [+],2018,284.758,"73,80%",32.144€
Australia [+],2018,497.213,"41,37%",19.755€
Azerbaiyán [+],2018,7.451,"18,75%",750€
Bosnia y Herzegovina [+],2018,5.845,"34,25%",1.668€
Barbados [+],2018,5.440,"125,71%",19.020€
Bangladés [+],2018,77.497,"33,99%",480€
Bélgica [+],2018,459.651,"102,00%",40.081€
Burkina Faso [+],2018,5.131,"42,88%",260€
Bulgaria [+],2018,12.491,"22,60%",1.784€
Baréin [+],2018,30.269,"94,75%",19.286€
Burundi [+],2015,1.226,"45,26%",121€
Benín [+],2018,4.957,"41,05%",432€
Brunéi [+],2018,297,"2,59%",672€
Bolivia [+],2017,17.150,"51,26%",1.532€
Brasil [+],2018,1.389.520,"87,89%",6.634€
Bahamas [+],2018,6.579,"63,26%",17.451€
Bután [+],2018,2.237,"102,38%",2.966€
Botsuana [+],2018,1.935,"12,12%",858€
Bielorrusia [+],2018,24.146,"47,83%",2.548€
Belice [+],2018,1.551,"95,22%",4.050€
Canadá [+],2018,1.303.612,"89,94%",35.238€
República Democrática del Congo [+],2018,6.098,"15,30%",73€
República Centroafricana [+],2018,964,"49,94%",207€
República del Congo [+],2018,8.672,"87,85%",1.654€
Suiza [+],2017,256.771,"42,64%",30.265€
Costa de Marfil [+],2018,19.387,"53,21%",773€
Chile [+],2018,64.507,"25,56%",3.444€
Camerún [+],2017,11.640,"37,56%",474€
Colombia [+],2018,146.114,"52,16%",2.932€
Costa Rica [+],2018,27.404,"53,55%",5.457€
Cabo Verde [+],2018,2.085,"124,50%",3.835€
Chipre [+],2018,21.258,"102,50%",24.270€
República Checa [+],2018,67.450,"32,70%",6.333€
Yibuti [+],2018,1.187,"47,97%",1.131€
Dinamarca [+],2018,101.434,"34,10%",17.470€
Dominica [+],2018,353,"74,09%",4.929€
República Dominicana [+],2018,36.568,"50,46%",3.562€
Argelia [+],2018,56.379,"38,34%",1.335€
Ecuador [+],2018,42.005,"45,78%",2.468€
Estonia [+],2018,2.152,"8,40%",1.624€
Egipto [+],2018,195.704,"92,65%",2.018€
Eritrea [+],2018,2.961,"174,31%",584€
Etiopía [+],2018,41.483,"61,04%",380€
Finlandia [+],2018,137.545,"58,90%",24.927€
Fiyi [+],2018,2.158,"46,16%",2.442€
Estados Federados de Micronesia [+],2018,63,"20,28%",622€
Gabón [+],2018,8.664,"60,66%",4.088€
Granada [+],2018,637,"63,49%",5.713€
Georgia [+],2017,6.021,"45,09%",1.614€
Ghana [+],2018,32.880,"59,29%",1.105€
Gambia [+],2018,1.191,"86,57%",522€
Guinea [+],2018,3.913,"38,21%",315€
Guinea Ecuatorial [+],2017,4.136,"38,02%",3.278€
Grecia [+],2018,334.573,"181,10%",31.204€
Guatemala [+],2018,16.394,"24,69%",950€
Guinea-Bisáu [+],2018,778,"64,34%",415€
Guyana [+],2018,1.747,"52,94%",2.243€
Hong Kong [+],2018,162,"0,05%",22€
Honduras [+],2018,8.091,"40,16%",844€
Croacia [+],2018,38.407,"74,60%",9.422€
Haiti [+],2018,2.719,"33,26%",244€
Hungría [+],2018,92.861,"70,80%",9.502€
Indonesia [+],2018,260.433,"30,09%",986€
Irlanda [+],2018,206.214,"64,80%",42.048€
Israel [+],2017,188.958,"60,41%",21.694€
India [+],2018,1.565.963,"68,05%",1.158€
Irak [+],2017,101.983,"58,92%",2.716€
Irán [+],2018,121.491,"32,18%",1.475€
Islandia [+],2018,8.267,"37,62%",23.158€
Jamaica [+],2018,12.662,"94,36%",4.315€
Jordania [+],2018,33.794,"94,41%",3.394€
Kenia [+],2018,44.762,"60,15%",871€
Kirguistán [+],2018,3.838,"56,03%",613€
Camboya [+],2018,5.925,"28,64%",365€
Kiribati [+],2017,35,"21,62%",313€
Comoras [+],2018,210,"20,97%",253€
San Cristóbal y Nieves [+],2018,502,"60,50%",9.570€
Corea del Sur [+],2017,541.803,"37,68%",10.536€
Kuwait [+],2017,21.893,"20,68%",5.398€
Kazajistán [+],2018,30.751,"21,01%",1.672€
Laos [+],2017,8.434,"55,80%",1.213€
Líbano [+],2017,70.429,"148,96%",10.339€
Santa Lucía [+],2018,1.056,"64,33%",5.805€
Sri Lanka [+],2018,62.666,"83,28%",2.892€
Liberia [+],2018,1.098,"39,91%",228€
Lesoto [+],2018,1.022,"44,53%",485€
Lituania [+],2018,15.417,"34,20%",5.517€
Luxemburgo [+],2018,12.587,"21,40%",20.503€
Letonia [+],2018,10.608,"35,90%",5.525€
Libia [+],2014,12.162,"36,39%",1.943€
Marruecos [+],2018,65.169,"64,96%",1.850€
Moldavia [+],2018,2.840,"29,67%",801€
Montenegro [+],2018,3.352,"72,57%",5.387€
Madagascar [+],2018,4.678,"45,72%",178€
Islas Marshall [+],2017,50,"27,23%",869€
Macedonia del Norte [+],2018,4.340,"40,47%",2.089€
Malí [+],2018,5.420,"37,27%",284€
Birmania - Myanmar [+],2018,22.180,"38,16%",413€
Mauritania [+],2017,3.310,"75,89%",773€
Malta [+],2018,5.665,"46,00%",11.477€
Mauricio [+],2018,8.111,"66,25%",6.407€
Maldivas [+],2018,3.068,"68,03%",5.949€
Malaui [+],2018,3.478,"62,91%",192€
México [+],2018,554.636,"53,62%",4.446€
Malasia [+],2018,168.649,"55,57%",5.208€
Mozambique [+],2018,12.165,"99,84%",412€
Namibia [+],2018,5.685,"45,79%",2.355€
Níger [+],2017,3.917,"54,37%",181€
Nigeria [+],2018,91.873,"27,26%",469€
Nicaragua [+],2018,4.131,"37,21%",639€
Holanda [+],2018,405.428,"52,40%",23.459€
Noruega [+],2018,146.871,"39,97%",27.734€
Nepal [+],2018,7.423,"30,20%",264€
Nauru [+],2017,58,"59,36%",4.487€
Nueva Zelanda [+],2018,51.306,"29,84%",10.407€
Omán [+],2018,35.808,"53,37%",8.569€
Panamá [+],2018,21.741,"39,49%",5.228€
Perú [+],2018,49.880,"26,15%",1.559€
Papúa Nueva Guinea [+],2015,5.859,"29,93%",723€
Filipinas [+],2018,109.012,"38,92%",1.022€
Pakistán [+],2018,190.885,"71,69%",950€
Polonia [+],2018,240.470,"48,90%",6.333€
Paraguay [+],2018,7.604,"21,47%",1.078€
Catar [+],2018,78.756,"48,63%",28.312€
Rumanía [+],2018,70.772,"35,00%",3.648€
Serbia [+],2018,23.319,"54,55%",3.349€
Rusia [+],2018,204.864,"14,61%",1.396€
Ruanda [+],2018,3.273,"40,66%",266€
Arabia Saudita [+],2018,126.348,"18,98%",3.749€
Islas Salomón [+],2017,108,"9,51%",170€
Seychelles [+],2018,763,"56,92%",7.881€
Sudán [+],2018,61.535,"212,08%",1.472€
Suecia [+],2018,181.290,"38,80%",17.721€
Singapur [+],2018,352.412,"113,63%",62.495€
Eslovenia [+],2018,32.232,"70,10%",15.489€
Eslovaquia [+],2018,44.145,"48,90%",8.099€
Sierra Leona [+],2018,2.176,"62,99%",285€
San Marino [+],2017,1.037,"76,64%",31.134€
Senegal [+],2018,12.242,"61,55%",772€
Surinam [+],2017,2.121,"78,05%",3.718€
