Países,Fecha,Deuda total (M.€),Deuda (%PIB),Deuda Per Cápita,testA,testB
España [+],2018,1.173.303,"97,60%",24.999€,2018,58
Alemania [+],2018,2.063.172,"60,90%",24.852€,2018,80
Reino Unido [+],2018,2.054.185,"86,80%",30.822€,2018,80
Francia [+],2018,2.315.298,"98,40%",34.542€,2018,72
Italia [+],2018,2.321.957,"132,20%",38.469€,2018,52
Portugal [+],2018,244.906,"121,50%",23.831€,2018,64
Estados Unidos [+],2018,18.160.427,"104,26%",55.477€,2018,71
Japón [+],2017,10.112.535,"234,99%",79.786€,2018,73
China [+],2018,5.729.759,"50,64%",4.106€,2018,39
Emiratos Árabes Unidos [+],2017,66.897,"20,00%",7.051€,2018,70
Afganistán [+],2018,1.145,"6,89%",31€,2018,16
Antigua y Barbuda [+],2018,1.220,"89,46%",12.667€,,
Albania [+],2018,8.911,"69,92%",3.113€,2018,36
Armenia [+],2018,5.401,"51,33%",1.821€,2018,35
Angola [+],2018,79.775,"89,00%",2.589€,2018,19
Argentina [+],2018,378.385,"86,06%",8.492€,2018,40
Austria [+],2018,284.758,"73,80%",32.144€,2018,76
Australia [+],2018,497.213,"41,37%",19.755€,2018,77
Azerbaiyán [+],2018,7.451,"18,75%",750€,2018,25
Bosnia y Herzegovina [+],2018,5.845,"34,25%",1.668€,2018,38
Barbados [+],2018,5.440,"125,71%",19.020€,2018,68
Bangladés [+],2018,77.497,"33,99%",480€,2018,26
Bélgica [+],2018,459.651,"102,00%",40.081€,2018,75
Burkina Faso [+],2018,5.131,"42,88%",260€,2018,41
Bulgaria [+],2018,12.491,"22,60%",1.784€,2018,42
Baréin [+],2018,30.269,"94,75%",19.286€,2018,36
Burundi [+],2015,1.226,"45,26%",121€,2018,17
Benín [+],2018,4.957,"41,05%",432€,2018,40
Brunéi [+],2018,297,"2,59%",672€,2018,63
Bolivia [+],2017,17.150,"51,26%",1.532€,2018,29
Brasil [+],2018,1.389.520,"87,89%",6.634€,2018,35
Bahamas [+],2018,6.579,"63,26%",17.451€,2018,65
Bután [+],2018,2.237,"102,38%",2.966€,2018,68
Botsuana [+],2018,1.935,"12,12%",858€,2018,61
Bielorrusia [+],2018,24.146,"47,83%",2.548€,2018,44
Belice [+],2018,1.551,"95,22%",4.050€,2008,20
Canadá [+],2018,1.303.612,"89,94%",35.238€,2018,81
República Democrática del Congo [+],2018,6.098,"15,30%",73€,2018,20
República Centroafricana [+],2018,964,"49,94%",207€,2018,26
República del Congo [+],2018,8.672,"87,85%",1.654€,2018,19
Suiza [+],2017,256.771,"42,64%",30.265€,2018,85
Costa de Marfil [+],2018,19.387,"53,21%",773€,2018,35
Chile [+],2018,64.507,"25,56%",3.444€,2018,67
Camerún [+],2017,11.640,"37,56%",474€,2018,25
Colombia [+],2018,146.114,"52,16%",2.932€,2018,36
Costa Rica [+],2018,27.404,"53,55%",5.457€,2018,56
Cabo Verde [+],2018,2.085,"124,50%",3.835€,2018,57
Chipre [+],2018,21.258,"102,50%",24.270€,2018,59
República Checa [+],2018,67.450,"32,70%",6.333€,2018,59
Yibuti [+],2018,1.187,"47,97%",1.131€,2018,31
Dinamarca [+],2018,101.434,"34,10%",17.470€,2018,88
Dominica [+],2018,353,"74,09%",4.929€,2018,57
República Dominicana [+],2018,36.568,"50,46%",3.562€,2018,30
Argelia [+],2018,56.379,"38,34%",1.335€,2018,35
Ecuador [+],2018,42.005,"45,78%",2.468€,2018,34
Estonia [+],2018,2.152,"8,40%",1.624€,2018,73
Egipto [+],2018,195.704,"92,65%",2.018€,2018,35
Eritrea [+],2018,2.961,"174,31%",584€,2018,24
Etiopía [+],2018,41.483,"61,04%",380€,2018,34
Finlandia [+],2018,137.545,"58,90%",24.927€,2018,85
Fiyi [+],2018,2.158,"46,16%",2.442€,2005,40
Estados Federados de Micronesia [+],2018,63,"20,28%",622€,,
Gabón [+],2018,8.664,"60,66%",4.088€,2018,31
Granada [+],2018,637,"63,49%",5.713€,2018,52
Georgia [+],2017,6.021,"45,09%",1.614€,2018,58
Ghana [+],2018,32.880,"59,29%",1.105€,2018,41
Gambia [+],2018,1.191,"86,57%",522€,2018,37
Guinea [+],2018,3.913,"38,21%",315€,2018,28
Guinea Ecuatorial [+],2017,4.136,"38,02%",3.278€,2018,16
Grecia [+],2018,334.573,"181,10%",31.204€,2018,45
Guatemala [+],2018,16.394,"24,69%",950€,2018,27
Guinea-Bisáu [+],2018,778,"64,34%",415€,2018,16
Guyana [+],2018,1.747,"52,94%",2.243€,2018,37
Hong Kong [+],2018,162,"0,05%",22€,2018,76
Honduras [+],2018,8.091,"40,16%",844€,2018,29
Croacia [+],2018,38.407,"74,60%",9.422€,2018,48
Haiti [+],2018,2.719,"33,26%",244€,2018,20
Hungría [+],2018,92.861,"70,80%",9.502€,2018,46
Indonesia [+],2018,260.433,"30,09%",986€,2018,38
Irlanda [+],2018,206.214,"64,80%",42.048€,2018,73
Israel [+],2017,188.958,"60,41%",21.694€,2018,61
India [+],2018,1.565.963,"68,05%",1.158€,2018,41
Irak [+],2017,101.983,"58,92%",2.716€,2018,18
Irán [+],2018,121.491,"32,18%",1.475€,2018,28
Islandia [+],2018,8.267,"37,62%",23.158€,2018,76
Jamaica [+],2018,12.662,"94,36%",4.315€,2018,44
Jordania [+],2018,33.794,"94,41%",3.394€,2018,49
Kenia [+],2018,44.762,"60,15%",871€,2018,27
Kirguistán [+],2018,3.838,"56,03%",613€,2018,29
Camboya [+],2018,5.925,"28,64%",365€,2018,20
Kiribati [+],2017,35,"21,62%",313€,2011,31
Comoras [+],2018,210,"20,97%",253€,2018,27
San Cristóbal y Nieves [+],2018,502,"60,50%",9.570€,,
