Países,Fecha,Deuda total (M.€),Deuda (%PIB),Deuda Per Cápita,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB
España [+],2018,1.173.303,"97,60%",24.999€,2018,58,2018,"41,4",Septiembre 2019,"14,2%",III Trim 2019,3.214 m.,2019,"1.050,0 €",2018,26.923€,2018,46.934.632,2017,5.947.106,2017,1.345.862,2016,294,2017,"83,40",2017,"6,09"
Alemania [+],2018,2.063.172,"60,90%",24.852€,2018,80,2018,"25,8",Septiembre 2019,"3,1%",II Trim 2019,1.331 m.,2019,"1.557,0 €",2018,50.546€,2018,83.019.214,2017,12.165.083,2017,4.208.083,2016,963,2017,"81,10",2017,"9,70"
Reino Unido [+],2018,2.054.185,"86,80%",30.822€,2018,80,2018,"34,3",Agosto 2019,"3,9%",II Trim 2019,1.252 m.,2019,"1.524,5 €",2018,44.453€,2018,66.647.112,2017,8.841.717,2017,4.921.309,2016,791,2017,"81,30",2017,"5,73"
Francia [+],2018,2.315.298,"98,40%",34.542€,2018,72,2018,"32,2",Septiembre 2019,"8,4%",II Trim 2019,2.397 m.,2019,"1.521,2 €",2018,39.436€,2018,67.028.048,2017,7.902.783,2017,2.207.213,2016,875,2017,"82,70",2017,"5,20"
Italia [+],2018,2.321.957,"132,20%",38.469€,2018,52,2018,"43,8",Septiembre 2019,"9,9%",II Trim 2019,2.545 m.,,,2018,31.292€,2018,60.359.546,2017,5.907.461,2017,3.029.168,2016,400,2017,"83,10",2017,"6,08"
Portugal [+],2018,244.906,"121,50%",23.831€,2018,64,2018,"27,3",Septiembre 2019,"6,6%",II Trim 2019,329 m.,2019,"700,0 €",2018,18.343€,2018,10.276.617,2017,880.188,2017,2.266.735,2016,66,2017,"81,60",2017,"5,50"
Estados Unidos [+],2018,18.160.427,"104,26%",55.477€,2018,71,2018,"37,7",Octubre 2019,"3,6%",I Trim 2019,6.716 m.,2019,"1.097,5 €",2018,46.529€,2018,327.352.000,2017,49.776.970,2017,3.016.685,2016,17.250,2017,"78,54",2017,"15,74"
Japón [+],2017,10.112.535,"234,99%",79.786€,2018,73,2018,"34,5",Septiembre 2019,"2,4%",I Trim 2019,1.650 m.,2017,"1.200,3 €",2018,39.791€,2018,126.529.100,2017,2.321.476,2017,831.868,2016,362,2017,"84,10",2017,"10,36"
China [+],2018,5.729.759,"50,64%",4.106€,2018,39,2018,"72,4",,,,,2018,"271,6 €",,,2018,1.395.380.000,2017,999.527,2017,9.962.058,2016,8.634,2017,"76,41",2017,"7,72"
Emiratos Árabes Unidos [+],2017,66.897,"20,00%",7.051€,2018,70,2018,"42,8",,,,,,,,,2018,9.630.959,2017,8.312.524,2017,143.150,2016,83,2017,"77,41",2017,"21,57"
Afganistán [+],2018,1.145,"6,89%",31€,2018,16,2018,"106,6",,,,,,,,,2018,37.172.386,2017,133.612,2017,4.826.464,2012,1.948,2017,"64,05",2017,"0,32"
Antigua y Barbuda [+],2018,1.220,"89,46%",12.667€,,,2018,"55,6",,,,,,,,,2018,96.286,2017,28.646,2017,50.234,2012,10,2017,"76,52",2017,"6,12"
